Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
QPID;1;bf820313c905e523f6033b9f940b72394f3200d4;7;0;7;1.4905816191537815;284;26;36;930;NO;11;5;561;9;8.0;9;NO
QPID;1;00d6f9c783e0f637751f0e2a903c2319ba1e8b85;1;1;1;0.0;8;0;0;114;NO;11;0;550;10;9.0;10;NO
QPID;1;a8ad56f53b6d476d1de0c084031bc61da27a519c;1;1;1;0.0;4;0;0;406;NO;11;0;550;9;8.0;9;YES
QPID;1;2dabd43a1a2cfce785921eba6065e379a08a7ba1;1;1;1;0.0;3;1;0;44;NO;11;16;550;8;7.0;8;NO
QPID;1;51349872a876adcb1a4625279dffe60e904518ac;1;1;2;0.0;210;210;0;0;YES;11;0;550;7;6.0;7;YES
QPID;1;085829bad79868b45a0b9f2012e36cd8562c5c2b;1;1;1;0.0;42;12;0;394;NO;11;13;550;6;5.0;6;YES
QPID;1;18ef819aacdee6e3b57c2119de17165328a3fb07;1;1;2;0.0;202;32;0;826;NO;11;11;550;5;4.0;5;YES
QPID;1;5da11750757ebd985d7008c21fb55bb4573701e4;1;2;2;0.0;47;0;39;796;NO;11;6;550;4;3.0;4;YES
QPID;1;28c8fafb1922af27189759cae2b7463df08c45c7;6;0;6;1.3567796494470397;267;227;0;1508;NO;11;1;550;8;7.0;8;NO
QPID;1;4860a3e0de89f2d53d444e05a435901041913ed5;1;4;5;2.0;10;0;2;172;NO;11;20;550;50;49.0;50;NO
QPID;1;b5196f5ddaa9e6f3ffc72b5711f7385a9f9e34ea;1;1;1;0.0;1;1;0;171;NO;11;0;517;47;46.0;47;NO
QPID;1;4b90ab1aa30b2540149ee5da27fa202fbd74643c;1;1;2;1.0;18;14;0;209;NO;11;19;506;46;45.0;46;NO
QPID;1;4c7120d4933479d9251374836461f27492904589;1;1;1;0.0;62;12;0;159;NO;11;12;495;45;44.0;45;NO
QPID;1;ce38fb63099be1ba2132c1edcb6b6f2e26d5038c;1;1;1;0.0;12;0;10;260;NO;11;0;484;44;43.0;44;NO
QPID;1;692034365c604e06ba2ef5d5f9dc9d6dd887a96d;1;1;1;0.0;20;14;0;246;NO;11;19;473;43;42.0;43;YES
QPID;1;ac5e402f83a1a1cad7663c84d5648bf30a58c1b3;1;1;2;0.0;90;90;0;0;NO;11;0;462;42;41.0;42;NO
QPID;1;9bfb11acd056fc7a0da321b86d0d3b0646171be5;1;1;1;0.0;46;0;10;334;NO;11;7;451;41;40.0;41;YES
QPID;1;c627d4d8324ed09bf4eb1a1d28dca9c448c97fd1;12;0;12;1.0690755669596392;1159;327;0;1451;NO;11;5;440;7;6.0;7;NO
